Player,Team,Overall_Rating,data_provider_id,Athleticism_Rating,Kicking_Rating,Marking_Rating,Handballing_Rating,Tackling & Pressure_Rating,Hit-Ups & Groundball_Rating,Ruck_Rating
Patrick Dangerfield,Geelong,3.31,P.Dangerfield 5/4/1990,,,,,,,
Sam De Koning,Geelong,2.69,S.De Koning 26/2/2001,,,,,,,
Ollie Dempsey,Geelong,,,,,,,,,
Nick Driscoll,Geelong,,,,,,,,,
Mitchell Edwards,Geelong,,,,,,,,,
Zach Guthrie,Geelong,2.74,Z.Guthrie 30/6/1998,,,,,,,
Jack Henry,Geelong,2.66,J.Henry 29/8/1998,,,,,,,
Oliver Henry,Geelong,,,,,,,,,
Lennox Hoffman,Geelong,,,,,,,,,
Hunter Holmes,Geelong,,,,,,,,,
Max Holmes,Geelong,2.96,M.Holmes 29/8/2002,,,,,,,
Lawson Humphries,Geelong,2.4,L.Humphries 24/4/2003,,,,,,,
Mitchell Knevitt,Geelong,,,,,,,,,
Jake Kolodjashnij,Geelong,,,,,,,,,
Shaun Mannagh,Geelong,,,,,,,,,
Jack Martin,Geelong,,,,,,,,,
Keighton Matofai-Forbes,Geelong,,,,,,,,,
Jesse Mellor,Geelong,,,,,,,,,
Gryan Miers,Geelong,3.24,G.Miers 30/3/1999,,,,,,,
Jacob Molier,Geelong,,,,,,,,,
Oisin Mullin,Geelong,2.16,O.Mullin 11/2/2000,,,,,,,
Shannon Neale,Geelong,2.79,S.Neale 25/7/2002,,,,,,,
Mark O'Connor,Geelong,2.54,M.O'Connor 17/1/1997,,,,,,,
Connor O'Sullivan,Geelong,2.69,C.O'Sullivan 19/5/2005,,,,,,,
Joe Pike,Geelong,,,,,,,,,
Jay Polkinghorne,Geelong,,,,,,,,,
Bailey Smith,Geelong,3.01,B.Smith 7/12/2000,,,,,,,
Rhys Stanley,Geelong,,,,,,,,,
Tyson Stengle,Geelong,2.82,T.Stengle 19/10/1998,,,,,,,
George Stevens,Geelong,,,,,,,,,
Thomas Stewart,Geelong,,,,,,,,,
Oliver Wiltshire,Geelong,,,,,,,,,
James Worpel,Geelong,2.46,J.Worpel 24/1/1999,,,,,,,
Oscar Adams,Gold Coast,,,,,,,,,
Beau Addinsall,Gold Coast,,,,,,,,,
Noah Anderson,Gold Coast,3.04,N.Anderson 17/2/2001,,,,,,,
Mac Andrew,Gold Coast,2.73,M.Andrew 4/12/2003,,,,,,,
Charlie Ballard,Gold Coast,2.61,C.Ballard 23/7/1999,,,,,,,
Cooper Bell,Gold Coast,,,,,,,,,
Sam Clohesy,Gold Coast,,,,,,,,,
Samuel Collins,Gold Coast,,,,,,,,,
Koby Coulson,Gold Coast,,,,,,,,,
Alex Davies,Gold Coast,,,,,,,,,
Asher Eastham,Gold Coast,,,,,,,,,
Zak Evans,Gold Coast,,,,,,,,,
Jy Farrar,Gold Coast,,,,,,,,,
Caleb Graham,Gold Coast,,,,,,,,,
Will Graham,Gold Coast,,,,,,,,,
Lachlan Gulbin,Gold Coast,,,,,,,,,
Elliott Himmelberg,Gold Coast,,,,,,,,,
Nicholas Holman,Gold Coast,,,,,,,,,
Bailey Humphrey,Gold Coast,2.52,B.Humphrey 11/9/2004,,,,,,,
Joel Jeffrey,Gold Coast,2.8,J.Jeffrey 12/3/2002,,,,,,,
Ben Jepson,Gold Coast,,,,,,,,,
Ben King,Gold Coast,2.61,B.King 7/7/2000,,,,,,,
Max Knobel,Gold Coast,,,,,,,,,
Caleb Lewis,Gold Coast,,,,,,,,,
Leo Lombard,Gold Coast,,,,,,,,,
Ben Long,Gold Coast,2.92,B.Long 21/8/1997,,,,,,,
