Player,Team,Age,Age_Decimal,Position,Matches,RatingPoints_Avg,Supercoach_Avg,DreamTeamPoints_Avg,CoachesVotes_Total,CoachesVotes_Avg,CoachesVotes_MatchesPolled,BnFVotes_Total,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,DisposalRetentionPercentage,KicksIntoF50,KickIntoF50RetentionPercentage,KickPercentage,Inside50s,Rebound50s,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,MetresGained,MetresGainedPerDisposal,AssistedMetresGained,NetMetresGained,KickMetresGained,RetainedMetresGained,KickMetresGainedPerKick,HandballMetresGained,HandballMetresGainedPerHandball,xThreatPerKick,ThreatRating,xRetainPerKick,RetentionRating,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,GroundBallGetsForward50,HardBallGets,LooseBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,GathersFromHitout,CrumbingPossessions,HandballReceives,AverageFieldPosition,Defensive50Possessions,DefensiveMidfieldPossessions,AttackingMidfieldPossessions,Forward50Possessions,CentreBounceAttendances,CentreBounceAttendancePercentage,CentreClearances,CentreClearanceRate,StoppageClearances,TotalClearances,FirstPossessions,FirstPossessionToClearance,Marks,ContestedMarks,MarksInside50,InterceptMarks,MarksOnLead,FreesFor,FreesAgainst,FreesDiff,RuckContests,RuckContestPercentage,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,RuckHardBallGets,HitoutToFirstPossession,HitoutToClearance,Tackles,TacklesInside50,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,Goals_Total,Goals_Avg,Behinds,ShotsAtGoal,GoalAssists,ScoreAssists,ScoreboardImpact,GoalAccuracy,ScoreInvolvements,ScoreInvolvementPercentage,ScoreLaunches,xScoreShots,xScorePerShot,xScoreRatingPerShot,xScoreShots_Set,xScorePerShot_Set,xScoreRatingPerShot_Set,xScoreShots_General,xScorePerShot_General,xScoreRatingPerShot_General,KickIns,KickInPercentage,KickInsPlayOnPercentage,Bounces,OnePercenters,PressureActs,PressureActsDefensiveHalf,Spoils
Matthew Jefferson,Melbourne,21,21.81,Key Forward,7,1.686,26.429,28.714,0,0,0,0,61.714,3.143,2.286,5.429,52.632,45.455,62.5,60.526,0.571,75,57.895,0.857,0.143,2,2.714,1.571,3.455,82.429,15.184,26.341,108.77,90.091,44.943,28.665,-0.389,-0.181,30.92,29.08,49.858,20.142,2.286,3,5.286,43.243,0.571,1.286,0.857,0.286,1,2,1,0,0.286,0.714,32.172,0.143,1.286,1.286,2.571,0.286,1.005,0,0,0.286,0.286,0.286,100,1.857,0.286,1.143,0,0.571,0.714,0.286,0.429,1,1.129,0.143,14.286,0,0,0,100,100,1.286,0.429,0,,2.286,12.5,4,0.571,0.571,1.714,0.286,0.286,5.714,33.333,2.571,11.465,0.143,12,2.767,-0.433,10,2.894,-0.794,2,2.129,1.371,0,0,,0,1,7.714,1.571,0.571
Aidan Johnson,Melbourne,25,25.81,Key Forward,5,2.96,37.6,30.8,0,0,0,0,62.4,3,2.4,5.4,44.444,26.667,66.667,48.148,0.2,100,55.556,0.2,0.4,3.4,1.588,2.2,2.455,82.8,15.333,7.596,90.396,86.112,30.454,28.704,6.84,2.85,18.98,-18.98,46.395,-21.395,3.4,1.8,5.2,65.385,0.6,2.2,1.6,0.6,1.6,2.2,1.6,0,0.6,0.8,33.917,0.4,0.6,1,3.2,4,13.889,0.2,5,1.2,1.4,1.4,100,1,0.4,0.8,0,0,0,2,-2,15,15.593,3.8,25.333,0.8,21.053,0.6,42.105,31.579,3,1,0,,2.4,16.667,3,0.6,0.6,2,0.4,0.4,6.6,30,1.8,6.716,0.2,10,2.466,-0.366,4,2.84,-0.84,6,2.216,-0.049,0,0,,0,2.8,11.6,3.8,2.2
Caleb Windsor,Melbourne,20,20.56,Gen. Defender,17,6.606,52.353,53.882,0,0,0,0,71.118,9,5.235,14.235,66.942,60.784,77.528,65.702,2.294,43.59,63.223,3.059,1.765,2.471,5.762,3.176,4.481,287.824,20.219,141.216,429.04,239.524,141.87,26.614,16.441,3.176,24.503,1.396,56.256,-0.861,3.588,11.353,14.941,24.016,2.176,2.588,0.176,0.471,2.118,2.235,1.647,0.235,0.471,7.647,-14.743,3.588,6.059,4.941,0.353,3.412,12.109,0.294,8.621,0.588,0.882,1,64.706,3,0.059,0,0.412,0.118,0.529,0.294,0.235,0,0,0,,0,,0,,,1.706,0.176,0.235,50,0.059,0,2,0.118,0.235,0.588,0.353,0.824,3.529,20,2.765,11.19,0.706,10,2.762,-1.162,1,4.617,-3.617,9,2.556,-0.889,0,0,,0.765,1.353,12.706,7.118,0.882
Xavier Lindsay,Melbourne,19,19.41,Midfielder,18,4.917,50.611,52.444,0,0,0,0,63.667,7.722,5.833,13.556,76.23,69.784,84.762,68.313,1.278,21.739,56.967,1.611,1.389,1.611,8.414,2.111,6.421,209.444,15.451,146.914,356.359,196.427,77.06,25.621,5.433,0.94,21.886,-4.386,56.159,3.008,3.556,10.167,13.722,25.911,2.222,2.611,0,0.278,2.333,2.389,1.833,0.111,0.722,6.333,-13.229,3.333,5,4.778,0.611,0.111,0.393,0.056,50,1,1.056,0.667,91.667,3.167,0,0.111,0.222,0,0.944,0.389,0.556,0,0,0,,0,,0,,,1.833,0.056,0.278,80,0,,2,0.111,0.333,0.611,0.056,0.056,1.333,18.182,1.944,8.028,0.278,11,3.181,-1.544,4,3.738,-1.488,7,2.862,-1.576,0,0,,0,1.278,10.778,5.389,0.722
Harvey Langford,Melbourne,19,19.79,Midfielder,22,10.073,71.091,62.727,10,0.455,2,0,75.591,9.455,8.5,17.955,71.899,70.673,73.262,68.608,2.5,43.636,52.658,3.045,1.773,2.727,6.583,3.136,5.725,335.045,18.661,177.74,512.786,297.335,185.312,31.601,15.59,1.834,23.518,7.942,49.896,4.598,6.545,11.227,17.773,36.829,2.591,5.182,0.682,1.136,4.045,3.955,3.455,0.727,1.273,7.045,-3.227,2.409,7.227,6.318,1.818,2.773,9.887,0.227,8.197,1.591,1.818,1.864,70.732,3.227,0.182,0.227,0.273,0.273,0.5,0.591,-0.091,0,0,0,,0,,0,,,1.227,0.136,0.227,40,0.273,33.333,14,0.636,0.227,1.091,0.409,0.773,6.864,58.333,4.545,19.011,0.909,24,3.133,0.575,6,3.583,0.584,18,2.983,0.572,0,0,,0.182,1.045,10.455,4.909,0.864
Max Gawn,Melbourne,34,34,Ruck,23,15.37,127.435,113.261,92,4,16,23,85.522,10.304,10.435,20.739,66.457,62.447,70.417,67.017,2.348,48.148,49.686,3,1.826,4.304,4.818,3,6.913,218.522,10.537,218.5,437.022,239.64,82.301,23.355,0.411,0.04,23.837,-2.188,58.27,-2.6,13.522,7.478,21,64.389,4.565,4.174,0.565,1.217,2.957,5.087,1.652,0,0.522,3.348,-3.136,2.957,7.652,8.13,2.261,24.087,85.494,1.609,6.679,3.696,5.304,8.391,68.394,5.696,2.261,0.565,2.783,0.391,2.391,1.609,0.783,75.174,81.518,35.913,47.773,10,27.845,4.696,45.278,40.678,2.174,0.087,0.913,0,1.391,43.75,6,0.261,0.652,1.087,0.174,0.826,3.913,24,6.783,28.519,4.304,25,3.123,-1.083,19,3.284,-1.126,6,2.613,-0.946,0,0,,0,3.087,7.435,3.522,2.435
Tom McDonald,Melbourne,33,33.28,Key Defender,17,8.476,74.706,59.529,2,0.118,2,0,94.235,9.588,4.824,14.412,85.306,85.276,85.366,76.639,0.529,33.333,66.531,0.647,2.941,2.118,6.806,2.647,5.444,212.118,14.718,149.311,361.429,206.204,104.086,21.506,5.308,1.1,15.061,-1.854,65.879,3.303,4.882,9.529,14.412,33.878,6.765,3.235,0,0.647,2.588,4.765,3.176,0.059,0.941,3.529,-39.251,7.235,5.176,2,0,0,0,0,,0.118,0.118,0.118,100,6.118,0.647,0,2.235,0.059,0.765,0.941,-0.176,0,0,0,,0,,0,,,1.118,0.059,2.882,20.408,0,,1,0.059,0,0.059,0.059,0.118,0.765,100,1.471,6.378,0.706,1,5.214,0.785,1,5.214,0.785,0,,,0.294,2.793,100,0,6.118,6.412,5.176,5.647
Jack Viney,Melbourne,31,31.71,Midfielder,18,9.894,87.111,88.389,18,1,3,8,80.889,10.111,11.778,21.889,62.69,50.549,73.113,61.675,3.167,40.351,46.193,3.556,1,4.278,5.117,4.944,4.427,313.944,14.343,208.433,522.377,276.544,115.941,27.351,12.672,1.076,27.158,-2.483,50.472,-10.862,10.5,12.056,22.556,46.552,2.611,6.833,1.278,2.222,4.611,3.889,2.944,1.611,1.389,8.278,2.962,1.5,9.444,8.833,2.778,19.389,68.297,1.722,8.883,2.389,4.111,5.444,66.327,2.611,0.111,0.111,0.278,0.167,1.556,1.222,0.333,0,0,0,,0,,0,,,6.778,1.389,0.056,0,0.056,0,4,0.222,0.333,0.833,0.444,0.833,4.722,26.667,4.167,18.204,1.556,15,2.97,-0.97,4,3.15,-1.4,11,2.904,-0.813,0,0,,0.056,1.333,21.278,8.278,0.278
Christian Salem,Melbourne,30,30.46,Gen. Defender,23,8.526,91.304,92.957,12,0.522,4,3,85.304,16.174,6.739,22.913,81.404,79.57,85.806,80.608,1.783,63.415,70.588,1.913,3.826,1.652,13.868,2.522,9.086,351.522,15.342,278.013,629.535,345.887,241.504,21.501,4.613,0.685,18.911,2.718,65.671,8.486,4.261,16.435,20.696,20.588,4.13,3.609,0.174,0.783,2.826,3.217,2.826,0.043,0.957,7.913,-26.959,7.043,8.478,4.783,0.391,0.435,1.543,0.217,50,0.652,0.87,0.652,73.333,7.652,0.304,0.087,1,0.043,0.217,0.478,-0.261,0,0,0,,0,,0,,,2.217,0.043,0.565,30.769,0,,1,0.043,0.087,0.174,0.435,0.783,3.304,25,3.783,15.905,1.391,4,2.601,-0.601,1,2.796,-1.796,3,2.536,-0.203,2.217,21.888,96.078,0.174,0.913,9.478,6.391,0.696
Christian Petracca,Melbourne,29,29.98,Mid-Forward,23,13.374,96.522,90.391,46,2,10,16,84.957,11.522,13.957,25.478,65.017,48.679,78.505,63.122,4.087,37.234,45.222,5.174,0.696,3.826,6.659,4.391,5.802,393.087,15.428,234.237,627.323,349.311,163.272,30.665,24.315,1.753,30.032,-5.162,46.026,-8.72,11.652,14.13,25.783,45.194,2.217,8.739,2.043,3.174,5.522,5.043,4.565,2.087,1.87,9.304,11.891,1.174,8.087,11.522,4.957,18.696,66.358,2.696,14.419,1.696,4.391,5.217,74.167,3.565,0.174,0.826,0.217,0.478,0.652,0.913,-0.261,0,0,0,,0,,0,,,3.391,1.217,0,,0.522,8.333,18,0.783,1.043,2.478,0.87,1.304,11.391,31.579,7.261,30.53,1.13,57,2.843,-0.527,22,2.774,-0.047,35,2.886,-0.829,0,0,,0.13,0.435,16.087,5.435,0.174
Ed Langdon,Melbourne,29,29.91,Mid-Forward,23,7,72.043,74.174,1,0.043,1,0,84.478,9.783,9.261,19.043,77.169,70.222,84.507,73.744,2.478,50.877,51.37,3.043,1.391,2.478,7.684,3.043,6.257,276.217,14.505,238.886,515.103,244.538,135.921,24.997,8.073,0.872,24.973,-0.226,56.999,1.082,5.043,14.087,19.13,26.364,2.478,3.87,0.609,1.043,2.826,3,2.391,0.348,1.13,7.783,-5.034,3.217,7.304,6.522,2.087,0.87,3.086,0.217,25,1.261,1.478,1.348,67.742,5,0.087,0.304,0.348,0.174,0.522,0.783,-0.261,0,0,0,,0,,0,,,2.696,0.348,0.087,100,0.043,0,8,0.348,0.261,0.783,0.565,0.783,5.957,44.444,4.435,18.647,0.783,18,3.214,-0.214,5,4.41,-0.41,13,2.753,-0.138,0,0,,0.13,0.652,13.565,6.087,0.174
Jake Lever,Melbourne,29,29.82,Gen. Defender,8,8.35,65.75,52.25,1,0.125,1,0,91.25,6.75,5.25,12,91.667,92.593,90.476,83.333,0.25,50,56.25,0.25,1.75,1.25,9.6,1.5,8,148.75,12.396,149.821,298.571,141.553,84.238,20.971,6.16,1.173,17.668,-2.574,70.411,5.06,3.625,8.5,12.125,29.897,6.5,2.25,0,0.125,2.125,3.5,2.125,0,0.625,2.5,-41.817,6.25,4.625,1.25,0,0,0,0,,0.125,0.125,0,,5.625,0.375,0,2.625,0,0.75,0.875,-0.125,0,0,0,,0,,0,,,1.625,0,1.625,15.385,0,,0,0,0,0,0.125,0.25,0.875,,1.375,5.528,0.5,0,,,0,,,0,,,0,0,,0,3.75,8.125,6.625,3.375
Clayton Oliver,Melbourne,28,28.44,Midfielder,22,11.145,92.455,89.727,10,0.455,3,0,78.773,10.818,14.727,25.545,69.395,55.042,79.938,70.945,3.136,44.928,42.349,3.773,1.136,4.591,5.564,3.773,6.771,301.136,11.788,286.922,588.058,289.448,148.335,26.869,2.57,0.175,26.171,2.188,48.989,-1.725,12,13.455,25.455,47.143,2.318,8.364,1.045,3.136,5.227,3.545,3,2.273,1,9.455,-1.814,2.909,9.864,10.273,2.409,20.273,72.285,1.955,9.641,3.545,5.5,7.591,67.066,2.864,0.136,0.136,0.227,0.182,1.136,1.636,-0.5,0.045,0.049,0,0,0,,0,,,5.409,0.773,0,,0,,4,0.182,0.273,0.727,0.364,0.773,3.955,25,5.455,23.121,1.273,16,2.914,-1.039,4,2.867,-0.617,12,2.929,-1.179,0,0,,0.091,0.909,20.727,9.045,0.136
Tom Sparrow,Melbourne,25,25.58,Gen. Forward,22,7.205,60.273,61.136,2,0.091,1,0,79.682,7.591,5.455,13.045,71.08,64.072,80.833,68.99,1.818,40,58.188,2.318,0.5,2.636,4.948,2.682,4.864,216.591,16.603,122.767,339.358,198.694,107.797,26.175,9.183,1.712,25.899,3.206,56.909,-0.939,4.455,8.591,13.045,34.146,1.727,3.136,0.545,0.636,2.5,3.045,2.318,0.227,1.182,4.591,3.883,1.045,5.091,5.136,1.773,1.864,6.592,0.455,24.39,0.773,1.227,0.818,77.778,3.5,0.318,0.364,0.318,0.591,0.591,0.909,-0.318,0,0,0,,0,,0,,,4,0.864,0.045,0,0.136,0,10,0.455,0.364,0.955,0.227,0.5,4.727,47.619,3.909,16.319,0.773,21,3.521,-0.283,10,4.022,-0.122,11,3.065,-0.428,0,0,,0.091,1.091,17.136,6.636,0.545
John Noble,Gold Coast,28,28.76,Gen. Defender,25,9.224,96.2,89.88,22,0.88,9,4,83.28,17.44,7.84,25.28,79.43,80.963,76.02,71.044,2.72,45.588,68.987,2.84,4.76,3.84,6.583,4.44,5.694,530.24,20.975,377.853,908.093,466.288,296.892,26.86,25.43,3.294,17.779,1.134,61.876,1.481,4.56,16.04,20.6,22.136,4.48,3.76,0.04,0.68,3.08,3.16,2.6,0,0.92,10.04,-26.489,7.32,7.8,5.2,0.28,0,0,0.04,,0.96,1,0.72,66.667,4.84,0.08,0.04,1.04,0,0.68,1.04,-0.36,0,0,0,,0,,0,,,2.24,0.08,0.48,25,0,,3,0.12,0.12,0.24,0.32,0.64,3.08,50,4.4,17.46,1.32,6,2.732,0.768,1,2.697,-1.697,5,2.739,1.261,4.52,45.565,100,1.32,1.8,11.24,8,1.24
Daniel Rioli,Gold Coast,28,28.7,Gen. Defender,20,9.945,81.6,69.2,13,0.65,3,0,79.35,10.35,8.25,18.6,76.344,71.014,83.03,74.865,2.15,48.837,55.645,2.45,3.05,2.35,7.915,3.1,6,337.5,18.145,242.762,580.262,275.022,208.617,26.963,23.441,2.841,22.617,2.652,58.03,5.948,4.9,12.9,17.8,27.528,4.2,4.05,0.3,0.8,3.25,3.45,3.1,0.2,1,8.4,-20.602,5.7,6.65,4.7,0.75,0,0,0.15,,0.8,0.95,0.95,63.158,3.5,0,0.1,0.7,0.4,0.7,0.6,0.1,0,0,0,,0,,0,,,2.45,0,0.25,40,0.05,0,8,0.4,0.05,0.55,0.3,0.55,4.5,72.727,3.7,14.741,1.15,11,3.032,1.423,3,2.099,1.901,8,3.382,1.243,0.9,9,88.889,2,1.25,11,7.4,0.9
Joel Jeffrey,Gold Coast,23,23.8,Gen. Defender,25,10.172,82.6,75.6,9,0.36,3,0,77,12.92,5.92,18.84,84.076,81.734,89.189,72.824,2.64,51.515,68.577,2.84,4.92,2.24,8.411,3.04,6.197,473.88,25.153,203.098,676.978,418.711,274.143,32.509,18.505,3.126,19.689,0.048,54.32,1.601,4.12,13.2,17.32,23.788,4.56,2.84,0.04,0.6,2.24,3.48,2.32,0.04,0.96,7.24,-26.192,6.28,6.68,4.12,0.24,0,0,0,,0.48,0.48,0.32,87.5,5.6,0.4,0.04,1.2,0.04,0.76,0.92,-0.16,0,0,0,,0,,0,,,2.2,0.04,0.68,23.529,0,,5,0.2,0.2,0.4,0.28,0.48,3.28,50,3.68,14.603,0.92,10,2.479,1.021,3,2.199,0.468,7,2.599,1.258,1.68,16.935,95.238,0.64,2.76,7.96,5.52,2.2
Ben King,Gold Coast,25,25.48,Key Forward,25,9.06,64.68,50.08,24,0.96,7,7,83.88,5.16,2.16,7.32,70.492,67.442,77.778,66.667,0.68,29.412,70.492,0.88,0,1.08,6.778,1.6,4.575,136.08,18.59,26.769,162.849,166.984,80.298,32.871,-3.629,-1.712,33.219,-12.167,43.767,-6.925,4.52,3,7.52,60.106,0.32,1.72,1.44,0.64,1.08,4.48,1.68,0,0.64,0.6,58.608,0,0.28,1.12,6.12,0,0,0,,0.04,0.04,0.04,100,3.24,1.32,2.72,0.04,1.04,1.36,0.44,0.92,0,0,0,,0,,0,,,0.64,0.52,0,,2.56,29.688,71,2.84,0.92,4.32,0.32,0.48,20.04,65.741,5.12,20.317,0.24,108,3.977,0.18,94,4.013,0.455,14,3.735,-1.664,0,0,,0,1.2,4.8,0.36,1
Wil Powell,Gold Coast,26,26.34,Gen. Defender,25,9.208,78.84,66.36,5,0.2,2,0,86.2,9.44,6.76,16.2,80,79.237,81.065,71.605,2.16,44.444,58.272,2.44,3.72,2.72,5.956,3.04,5.329,373.56,23.059,187.294,560.854,335.211,206.969,35.51,22.567,3.338,20.427,3.909,55.929,2.921,5.08,10.4,15.48,32.817,5.4,3.68,0.04,0.8,2.88,4.04,2.96,0.12,1.2,5.12,-23.948,5.2,6.08,3.96,0.24,0,0,0.04,,0.6,0.64,0.56,57.143,4.8,0.44,0,1.4,0.16,0.8,1.08,-0.28,0,0,0,,0,,0,,,3.04,0.12,1.24,19.355,0,,1,0.04,0.16,0.24,0.04,0.4,1,16.667,3.24,12.857,1.52,6,2.501,-0.834,2,2.481,1.019,4,2.511,-1.761,1.68,16.935,85.714,0.68,2.88,10.84,7.88,2.56
Connor Budarick,Gold Coast,24,24.73,Gen. Forward,19,4.074,46.526,49.263,0,0,0,0,73.684,6.316,5.368,11.684,68.468,60,78.431,66.216,1.632,54.839,54.054,2.053,0.474,2.684,4.353,3.053,3.828,222.789,19.068,120.508,343.297,196.948,102.563,31.183,10.553,1.966,24.375,-2.593,54.783,-2.308,3.684,7.842,11.526,31.963,1.947,2.789,0.842,0.632,2.158,3.158,2.368,0.105,1.053,4.316,4.044,1.368,4.053,4.053,2.053,0,0,0,,0.211,0.211,0.263,20,3.053,0.263,0.263,0.316,0.474,0.579,0.895,-0.316,0,0,0,,0,,0,,,2.526,0.947,0.316,33.333,0.632,16.667,6,0.316,0.526,0.947,0.263,0.474,4.211,33.333,2.895,11.27,0.632,18,2.938,-0.382,7,2.85,-0.421,11,2.994,-0.358,0.053,0.524,100,0.105,0.789,12.421,4.737,0.526
Charlie Ballard,Gold Coast,26,26.44,Key Defender,1,5,48,30,0,0,0,0,45,5,1,6,83.333,80,100,83.333,0,,83.333,0,1,0,,1,6,80,13.333,127.84,207.84,89.48,37.94,17.896,-5.97,-5.97,26.486,13.514,73.472,6.528,1,5,6,16.667,2,0,0,0,0,1,0,0,0,3,-15.688,1,3,2,0,0,0,0,,0,0,0,,3,1,0,2,0,0,0,0,0,0,0,,0,,0,,,1,0,2,50,0,,0,0,0,0,0,0,0,,1,2.778,1,0,,,0,,,0,,,0,0,,0,2,4,4,1
Noah Anderson,Gold Coast,24,24.86,Midfielder,25,17.352,113.44,99.28,106,4.24,16,25,86.4,14.76,15.32,30.08,70.08,59.621,80.157,69.067,4.4,48.182,49.069,5.32,2.6,3.96,7.596,4.48,6.714,531.6,17.673,349.372,880.972,432.323,264.86,29.45,50.003,3.29,25.881,-1.365,50.588,0.702,12.6,17.88,30.48,41.339,3.04,8.48,0.68,2.08,6.4,3.52,2.96,2.48,1.12,12.68,-8.127,5.08,13.36,10.04,2,23.8,85.735,3,12.605,3.96,6.96,8.32,73.077,3.72,0.04,0.16,0.24,0.16,0.96,1.08,-0.12,0,0,0,,0,,0,,,3.04,0.24,0.08,0,0,,12,0.48,0.44,1.2,0.8,1.2,8.52,40,7.12,28.254,2,30,2.794,-0.027,5,2.408,0.392,25,2.871,-0.111,0,0,,0.92,1.64,19.04,10.64,0.4
Matt Rowell,Gold Coast,24,24.5,Midfielder,25,16.876,118.08,101.52,103,4.12,17,39,83.36,12.32,13.96,26.28,72.451,59.091,84.241,71.799,4.96,58.065,46.88,5.6,1.16,5.08,5.173,4.76,5.521,401.68,15.285,290.078,691.758,375.657,208.439,30.792,0.804,0.058,28.827,3.357,46.857,-0.88,13.8,12.52,26.32,52.432,2.88,8.6,0.76,3.16,5.44,4.2,3.72,3,1.84,10.2,1.15,2.4,9.96,11.44,2.52,22.56,81.268,3.36,14.894,4.84,8.2,8.88,83.784,1.64,0.04,0.08,0.32,0.08,2.12,2.44,-0.32,0,0,0,,0,,0,,,8.56,0.56,0.12,0,0,,10,0.4,0.28,0.88,0.68,1.4,7.48,45.455,7.32,29.048,2.12,22,2.814,0.232,8,3.118,0.007,14,2.64,0.36,0,0,,0.44,1.08,29,12.92,0.28
Sam Clohesy,Gold Coast,23,23.05,Midfielder,14,7.414,64,62.143,0,0,0,0,78.143,8.929,6.357,15.286,70.093,62.4,80.899,64.789,2.643,51.351,58.411,3.143,1.786,1.643,9.304,3,5.095,327.214,21.407,153.313,480.527,305.813,158.744,34.251,13.976,2.198,24.4,0.834,46.684,-2.759,4.857,10.429,15.286,31.776,2.786,3.929,0.5,0.643,3.286,3.643,2.929,0.214,0.929,5.786,-2.188,2.571,5.286,5.143,2.286,0,0,0.071,,0.857,0.929,0.929,61.538,3.643,0.143,0.5,0.5,0.357,0.643,0.286,0.357,0,0,0,,0,,0,,,2.429,0.5,0.214,33.333,0,,4,0.286,0.5,1.071,0.357,0.571,4.571,26.667,3.357,13.352,0.857,15,2.581,-0.515,8,2.816,-0.066,7,2.313,-1.027,0,0,,0.143,0.786,13,5.714,0.571
Bodhi Uwland,Gold Coast,22,22.43,Gen. Defender,25,8.404,76.2,63.52,6,0.24,2,0,86.8,9.76,6.24,16,83.25,83.607,82.692,73.5,1.4,45.714,61,1.44,3.8,2.48,6.452,2.6,6.154,304.04,19.003,228.504,532.544,277.288,172.124,28.411,16.194,2.595,18.469,1.19,62.683,-1.145,4.64,10.32,14.96,31.016,5.4,3.28,0.08,0.6,2.68,3.96,2.76,0.08,0.68,4.64,-33.784,7.16,4.88,2.8,0.12,0,0,0.04,,0.44,0.48,0.32,75,5.36,0.44,0,1.64,0.12,1.16,0.92,0.24,0,0,0,,0,,0,,,1.76,0,1.36,23.529,0,,1,0.04,0,0.08,0.16,0.28,1.32,50,2.84,11.27,1.12,2,2.766,0.234,0,,,2,2.766,0.234,0.92,9.274,95.652,0.32,4.64,7.8,6.48,4.44
Jake Rogers,Gold Coast,20,20.83,Gen. Forward,9,4.811,33.222,27.333,0,0,0,0,48.333,4,3.222,7.222,66.154,63.889,68.966,70.769,1,44.444,55.385,1.444,0,1.222,5.909,1.333,5.417,119.778,16.585,86.208,205.986,103.648,71.529,25.912,4.93,1.53,34.784,13.491,49.832,8.788,3,4.667,7.667,39.13,0.556,2.222,0.889,0.333,1.889,2,1.667,0.333,0.778,3,30.075,0.111,0.667,4.111,2.778,1,3.409,0.111,11.111,0.111,0.222,0.778,42.857,1.111,0,0.222,0,0.333,0.333,0.556,-0.222,0,0,0,,0,,0,,,1,0.111,0,,0.111,0,4,0.444,0.222,0.667,0.556,1,6.667,66.667,3.222,10.861,0.222,6,4.202,0.132,4,4.246,-0.746,2,4.112,1.888,0,0,,0.111,0.222,7.111,2.111,0
Bailey Humphrey,Gold Coast,21,21.3,Mid-Forward,23,11.509,79.87,67.783,21,0.913,6,2,79,8.174,7.217,15.391,67.797,55.851,81.325,65.722,3.087,49.296,53.107,3.783,0.391,3.217,4.784,2.696,5.71,304.391,19.777,130.672,435.063,289.808,147.047,35.645,12.871,1.805,30.313,10.164,44.288,-1.431,8.739,6.913,15.652,55.833,1.435,6.478,1.565,1.913,4.565,5.174,3.826,0.696,1.391,4.174,16.694,0.696,4.478,6.652,3.826,10.522,37.695,1,9.504,1.565,2.565,2.783,76.563,2.826,0.957,1.13,0.087,0.304,0.609,1.348,-0.739,0,0,0,,0,,0,,,4.087,0.957,0.087,50,1.478,44.118,25,1.087,0.913,2.304,0.957,1.435,13.652,47.17,5.87,22.998,1.087,53,3.214,0.013,28,3.661,-0.803,25,2.713,0.927,0,0,,0.043,1.043,17.522,5.435,0.478
Will Graham,Gold Coast,20,20.43,Gen. Forward,8,9.425,64.25,55.25,0,0,0,0,79.75,5.75,4.75,10.5,72.619,69.565,76.316,67.47,1.25,50,54.762,2.125,0.5,2.125,4.941,2.375,4.421,218.625,20.821,81.791,300.416,187.024,118.866,32.526,15.199,3.286,29.74,0.26,50.89,5.777,5.125,5.75,10.875,47.126,1.375,4,1.125,0.75,3.25,3.375,2.625,0.125,1.25,3.375,14.659,0.75,3.25,4.125,2.75,5.625,19.397,0.25,4.444,0.875,1.125,1.25,60,2.125,0,0.75,0.125,0.625,1,1,0,0,0,0,,0,,0,,,4,0.625,0,,0.875,0,10,1.25,0.625,1.875,0.625,0.75,12,66.667,4.5,15.721,1.5,15,3.786,0.548,6,4.013,1.154,9,3.634,0.144,0,0,,0.125,0.625,16.25,5.75,0.375
Ethan Read,Gold Coast,20,20.48,Key Forward,21,3.438,44.905,41.667,0,0,0,0,66,5.238,2.333,7.571,59.748,50.909,79.592,61.635,0.952,50,69.182,1.286,0.048,2.19,3.457,1.762,4.297,122.381,16.164,58.689,181.07,138.672,59.862,26.474,2.674,1.146,33.171,4.117,52.399,3.533,3.762,3.905,7.667,49.068,0.524,1.762,0.667,0.476,1.286,2.952,1.333,0,0.333,1.667,31.097,0.19,1.571,2.619,3.286,3.619,12.991,0.143,3.947,0.429,0.571,0.714,80,2.667,0.714,1.381,0.143,0.905,0.905,1.286,-0.381,14.095,14.3,4.143,29.392,0.714,17.241,0.143,29.885,19.54,1.429,0.714,0.143,66.667,1.81,26.316,19,0.905,0.952,2.095,0.095,0.476,7.333,43.182,3.524,13.603,0.619,44,3.694,-0.648,33,3.84,-0.84,11,3.253,-0.072,0,0,,0,1.619,6.952,2.048,1.286
