MatchId,Player,Team,CoachesVotes,RatingPoints,EstimatedRating,Equity_PreClearance,Equity_PostClearance,Equity_Possession,Equity_BallUse,Supercoach,DreamTeamPoints,ExpVotes,Votes3,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,AssistedMetresGained,Inside50s,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,HandballReceives,Intercepts,CentreBounceAttendancePercentage,TotalClearances,Marks,InterceptMarks,ContestedMarks,ShotsAtGoal,Goals,Behinds,xScore,xScoreRating,GoalAssists,ScoreInvolvements,ScoreLaunches,Tackles,PressureActs,Hitouts,Round
20260001,Harry McKay,Carlton,0.0,4.8,9.53,-2.2,4.7,7.1,-2.3,50,49,0.0,0.0,96,10,3,13,61.5,321,55,3,7,4,7,4,2,3,0,0,5,1,2,1,1,0,5.4,0.6,0,5,2,0,5,0,0
20260001,Jacob Weitering,Carlton,0.0,5.8,9.97,0.0,4.8,3.7,-0.4,73,58,0.0,0.0,95,12,3,15,86.7,214,205,1,4,3,4,3,2,7,0,0,5,1,0,0,0,0,0.0,0.0,0,0,0,0,3,0,0
20260001,Jagga Smith,Carlton,0.0,6.0,5.72,2.3,2.6,2.9,2.0,65,82,0.0,0.0,79,11,16,27,74.1,347,423,4,5,4,2,2,16,2,53,3,3,0,0,0,0,0,0.0,0.0,0,4,0,2,5,0,0
20260001,Lachie Fogarty,Carlton,0.0,4.9,7.74,1.9,0.9,5.9,-0.8,58,36,0.0,0.0,66,5,9,14,64.3,212,27,0,7,6,5,5,6,0,0,0,1,0,0,0,0,0,0.0,0.0,0,1,0,0,4,0,0
20260001,Lewis Young,Carlton,0.0,3.6,7.26,0.0,3.6,3.9,0.0,60,41,0.0,0.0,100,6,5,11,72.7,138,112,0,5,2,5,2,2,6,0,0,4,0,0,0,0,0,0.0,0.0,0,0,0,1,9,0,0
20260001,Liam Reidy,Carlton,0.0,1.8,4.84,-0.4,-0.2,4.3,-1.2,31,40,0.0,0.0,61,3,2,5,40.0,83,19,1,4,2,4,2,0,0,22,1,1,0,1,1,0,1,2.4,-1.4,0,2,1,2,14,17,0
20260001,Marc Pittonet,Carlton,0.0,26.0,12.74,16.5,7.3,8.3,15.3,108,92,0.02,0.0,67,8,10,18,88.9,175,275,1,12,6,4,2,4,2,78,8,3,1,1,3,3,0,9.0,9.0,0,5,3,2,11,17,0
20260001,Mitch McGovern,Carlton,0.0,10.0,9.47,-0.9,11.0,3.9,2.3,58,59,0.0,0.0,79,12,4,16,87.5,421,84,2,3,3,3,3,4,5,0,0,5,2,0,0,0,0,0.0,0.0,0,1,0,0,9,0,0
20260001,Oliver Florent,Carlton,0.0,12.1,8.03,1.4,8.3,9.0,0.6,95,85,0.0,0.0,84,16,6,22,59.1,464,108,2,9,8,6,5,4,11,0,2,7,4,1,0,0,0,0.0,0.0,0,3,1,1,9,0,0
20260001,Oliver Hollands,Carlton,0.0,7.5,7.57,4.8,1.7,4.2,2.8,73,69,0.0,0.0,82,12,6,18,77.8,336,343,4,6,4,3,2,4,2,6,3,4,0,0,1,0,0,2.8,-2.8,2,3,0,2,13,0,0
