Player,Team,Age,Age_Decimal,Position,Matches,RatingPoints_Avg,Supercoach_Avg,DreamTeamPoints_Avg,CoachesVotes_Total,CoachesVotes_Avg,CoachesVotes_MatchesPolled,BnFVotes_Total,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,KickingEfficiency,HandballEfficiency,KickPercentage,Inside50s,Rebound50s,MetresGained,MetresGainedPerDisposal,Clangers,DisposalsPerClanger,Turnovers,DisposalsPerTurnover,xThreatPerKick,ThreatRating,xRetainPerKick,RetentionRating,ContestedPossessions,UncontestedPossessions,TotalPossessions,ContestedPossessionRate,Intercepts,GroundBallGets,GroundBallGetsForward50,HardBallGets,LooseBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,GathersFromHitout,CrumbingPossessions,HandballReceives,CentreBounceAttendances,CentreBounceAttendancePercentage,CentreClearances,CentreClearanceRate,StoppageClearances,TotalClearances,FirstPossessions,FirstPossessionToClearance,Marks,ContestedMarks,MarksInside50,InterceptMarks,MarksOnLead,FreesFor,FreesAgainst,FreesDiff,RuckContests,RuckContestPercentage,Hitouts,HitoutsWinPercentage,HitoutsToAdvantage,HitoutsToAdvantagePercentage,RuckHardBallGets,Tackles,TacklesInside50,ContestDefensiveOneOnOnes,ContestDefensiveLossPercentage,ContestOffensiveOneOnOnes,ContestOffensiveWinPercentage,Goals_Total,Goals_Avg,Behinds,ShotsAtGoal,GoalAssists,GoalAccuracy,ScoreInvolvements,ScoreInvolvementPercentage,ScoreLaunches,xScoreShots,xScorePerShot,xScoreRatingPerShot,xScoreShots_Set,xScorePerShot_Set,xScoreRatingPerShot_Set,xScoreShots_General,xScorePerShot_General,xScoreRatingPerShot_General,KickIns,KickInPercentage,KickInsPlayOnPercentage,Bounces,OnePercenters,PressureActs,PressureActsDefensiveHalf,Spoils
Liam Henry,Fremantle,20,20.34,Gen. Forward,17,6.429,42.0,38.059,0,0.0,0,0,72.824,6.235,2.765,9.0,61.438,52.83,80.851,69.281,1.824,0.412,157.412,17.49,2.0,4.5,2.588,3.477,29.224,4.56,55.846,6.316,4.353,5.059,9.412,46.25,0.941,3.059,1.588,0.765,2.294,3.765,2.588,0.118,1.471,2.294,0.0,0.0,0.176,,0.412,0.588,0.412,85.714,2.176,0.412,0.647,0.059,0.647,0.765,0.588,0.176,0.0,0.0,0.0,,0.0,,0.0,1.059,0.471,0.059,0.0,0.882,26.667,10,0.588,0.529,1.706,0.353,34.483,3.647,17.765,0.471,29,2.992,-0.613,17,3.187,-0.482,12,2.716,-0.8,0.0,0.0,,0.588,0.765,9.941,2.294,0.647
Hayden Young,Fremantle,20,20.72,Gen. Defender,8,6.838,76.875,68.5,0,0.0,0,0,79.125,10.625,5.25,15.875,80.315,75.294,90.476,66.929,1.625,3.5,295.125,18.591,2.625,6.048,2.875,5.522,20.173,0.309,58.409,1.832,4.5,11.0,15.5,29.032,5.375,3.0,0.125,0.625,2.375,3.75,2.5,0.25,0.875,5.25,0.0,0.0,0.125,,0.5,0.625,0.5,75.0,5.625,0.625,0.0,2.375,0.0,0.875,0.375,0.5,0.0,0.0,0.0,,0.0,,0.0,2.375,0.0,1.0,25.0,0.0,,0,0.0,0.0,0.0,0.125,,2.625,13.208,1.125,0,,,0,,,0,,,1.375,11.579,63.636,0.375,2.375,10.25,7.75,2.0
Caleb Serong,Fremantle,20,20.89,Midfielder,22,11.127,82.864,82.273,22,1.0,4,5,74.136,12.682,10.182,22.864,67.197,54.122,83.482,55.467,4.136,1.273,344.5,15.068,3.227,7.085,3.864,5.918,26.666,-0.306,53.581,0.812,9.273,13.636,22.909,40.476,2.455,6.591,0.545,2.0,4.591,3.318,2.818,1.727,1.318,9.909,18.273,71.403,1.955,10.697,2.864,4.818,5.318,82.051,2.909,0.091,0.364,0.273,0.045,1.045,0.545,0.5,0.0,0.0,0.0,,0.0,,0.0,3.273,0.409,0.045,100.0,0.091,0.0,8,0.364,0.455,1.136,0.409,32.0,5.273,24.017,1.273,25,2.562,-0.242,9,2.569,-0.347,16,2.558,-0.183,0.0,0.0,,0.0,0.591,18.818,8.5,0.136
Nat Fyfe,Fremantle,30,30.28,Midfielder,15,13.587,100.4,84.067,28,1.867,5,3,81.333,10.267,13.8,24.067,70.36,55.844,81.159,42.659,3.2,1.067,259.533,10.784,4.867,4.945,3.533,6.811,29.671,7.171,59.24,0.409,13.4,11.133,24.533,54.62,2.6,8.067,1.333,4.533,3.533,5.333,3.6,2.867,1.533,7.333,17.467,67.7,2.267,12.977,3.467,5.733,6.933,69.231,3.867,1.067,0.933,0.4,0.6,1.2,2.4,-1.2,0.067,0.084,0.0,0.0,0.0,,0.0,4.067,0.467,0.0,,1.267,36.842,6,0.4,1.4,2.067,0.6,19.355,7.6,32.571,1.667,31,3.162,-1.324,15,3.78,-1.913,16,2.583,-0.771,0.0,0.0,,0.733,2.2,22.6,9.267,0.467
James Aish,Fremantle,26,26.14,Gen. Defender,22,6.973,68.182,69.273,10,0.455,2,0,82.864,10.727,8.091,18.818,71.498,58.898,88.202,57.005,2.955,2.5,342.591,18.205,2.545,7.393,3.591,5.241,22.875,-1.177,51.838,-1.367,5.091,13.455,18.545,27.451,3.864,3.864,0.136,1.318,2.545,3.364,2.727,0.318,1.182,8.318,0.545,2.131,0.227,41.667,1.409,1.636,1.364,90.0,4.182,0.227,0.136,0.682,0.045,0.591,0.591,0.0,0.0,0.0,0.0,,0.0,,0.0,2.227,0.136,0.773,29.412,0.091,50.0,1,0.045,0.364,0.5,0.227,9.091,3.273,14.907,0.545,11,2.699,-1.426,3,2.635,-1.969,8,2.723,-1.223,0.318,3.043,100.0,0.091,2.0,11.318,6.955,1.409
Joel Hamling,Fremantle,28,28.72,Key Defender,1,8.2,72.0,32.0,0,0.0,0,0,77.0,3.0,7.0,10.0,70.0,100.0,57.143,30.0,0.0,1.0,45.0,4.5,1.0,10.0,3.0,3.333,11.28,-11.28,59.627,-26.293,6.0,4.0,10.0,60.0,6.0,3.0,0.0,1.0,2.0,6.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,6.061,2.0,50.0,2.0,100.0,0.0,1.0,0.0,2.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,,,0,,,0,,,0.0,0.0,,0.0,7.0,5.0,4.0,7.0
Blake Acres,Fremantle,26,26.23,Midfielder,18,6.561,64.111,66.056,0,0.0,0,0,78.833,10.222,7.667,17.889,72.36,60.87,87.681,57.143,3.167,1.889,295.556,16.522,2.833,6.314,3.833,4.667,23.903,-6.845,52.035,-7.917,5.944,11.944,17.889,33.23,3.278,4.5,0.556,1.333,3.167,3.722,3.056,0.556,1.389,7.222,0.0,0.0,0.0,,1.611,1.611,1.611,79.31,3.722,0.111,0.222,0.167,0.056,0.667,1.0,-0.333,3.278,4.114,0.556,16.949,0.056,10.0,0.056,2.5,0.278,0.278,40.0,0.389,14.286,2,0.111,0.0,0.333,0.278,33.333,3.389,14.806,0.667,6,3.472,-1.472,1,5.544,0.456,5,3.058,-1.858,0.0,0.0,,0.389,1.444,13.722,6.5,0.889
Alex Pearce,Fremantle,26,26.56,Key Defender,10,7.94,55.8,36.8,0,0.0,0,0,82.1,5.6,4.0,9.6,77.083,82.143,70.0,58.333,0.7,2.5,127.7,13.302,2.0,4.8,2.0,4.8,17.295,-2.201,66.589,5.109,4.7,4.9,9.6,48.958,4.7,3.0,0.1,1.1,1.9,4.1,2.6,0.2,0.9,2.3,0.0,0.0,0.0,,0.4,0.4,0.5,80.0,2.7,0.4,0.0,1.3,0.0,1.2,0.5,0.7,0.5,0.601,0.1,20.0,0.1,100.0,0.0,1.0,0.0,4.1,26.829,0.4,0.0,0,0.0,0.1,0.1,0.2,0.0,1.3,6.566,0.4,1,3.378,-2.378,1,3.378,-2.378,0,,,0.1,0.952,0.0,0.0,5.6,7.5,6.2,5.0
Connor Blakely,Fremantle,25,25.83,Midfielder,13,3.454,37.154,32.077,0,0.0,0,0,35.923,3.846,5.077,8.923,81.897,76.0,86.364,43.103,1.154,0.462,92.615,10.379,0.692,12.889,1.538,5.8,25.774,-6.625,55.873,-2.681,3.462,5.769,9.231,37.5,1.308,2.538,0.538,0.769,1.769,2.0,1.692,0.462,0.385,3.077,1.769,7.165,0.231,13.043,0.769,1.0,1.154,66.667,2.308,0.0,0.308,0.077,0.154,0.615,0.385,0.231,0.0,0.0,0.0,,0.0,,0.0,0.846,0.231,0.077,0.0,0.077,100.0,1,0.077,0.154,0.231,0.308,33.333,1.462,6.552,0.231,3,2.737,-0.07,3,2.737,-0.07,0,,,0.0,0.0,,0.0,0.462,6.385,2.462,0.154
Sam Switkowski,Fremantle,25,25.11,Gen. Forward,12,11.675,66.083,55.417,2,0.167,1,1,70.75,6.583,5.583,12.167,73.973,60.759,89.552,54.11,2.583,0.333,190.25,15.637,1.5,8.111,2.25,5.407,33.059,11.385,53.06,8.051,5.75,6.75,12.5,46.0,1.75,4.167,1.167,1.583,2.583,4.083,3.167,0.333,0.917,3.417,1.667,6.494,0.333,20.0,0.667,1.0,0.917,54.545,3.0,0.417,0.667,0.75,0.583,0.583,0.333,0.25,0.0,0.0,0.0,,0.0,,0.0,2.667,0.667,0.0,,0.833,40.0,9,0.75,0.75,1.583,0.417,47.368,5.5,24.719,0.583,19,3.237,0.079,5,3.408,0.592,14,3.176,-0.105,0.0,0.0,,0.333,1.667,15.083,4.667,0.583
Ethan Hughes,Fremantle,27,27.06,Gen. Defender,8,6.1,62.75,60.0,0,0.0,0,0,79.875,9.375,8.0,17.375,74.82,68.0,82.812,53.957,1.375,2.25,214.875,12.367,3.25,5.346,3.375,5.148,20.64,-2.584,59.638,-5.472,6.0,12.5,18.5,32.432,5.5,4.875,0.0,1.75,3.125,4.875,4.0,0.125,1.375,7.5,0.0,0.0,0.25,,0.625,0.875,0.75,83.333,3.625,0.0,0.125,0.375,0.0,0.75,0.625,0.125,0.0,0.0,0.0,,0.0,,0.0,1.5,0.0,0.75,0.0,0.0,,0,0.0,0.125,0.125,0.125,0.0,2.75,11.765,1.625,1,2.675,-1.675,1,2.675,-1.675,0,,,0.0,0.0,,0.125,3.125,10.875,8.25,2.5
Brennan Cox,Fremantle,23,23.38,Key Defender,12,9.525,70.333,46.0,0,0.0,0,0,90.417,7.25,4.583,11.833,90.141,86.207,96.364,61.268,0.583,2.75,127.0,10.732,1.75,6.762,1.333,8.875,16.276,-4.228,68.872,7.032,4.667,7.5,12.167,38.356,5.75,2.833,0.0,1.0,1.833,4.583,2.75,0.0,0.917,3.25,0.0,0.0,0.0,,0.083,0.083,0.0,,4.667,1.333,0.0,1.75,0.0,0.333,1.0,-0.667,0.583,0.742,0.083,14.286,0.0,0.0,0.0,0.917,0.0,4.0,25.0,0.0,,0,0.0,0.0,0.083,0.083,0.0,1.417,6.007,0.833,1,0.047,-0.047,1,0.047,-0.047,0,,,0.083,0.806,0.0,0.083,9.333,5.75,4.833,8.583
Luke Ryan,Fremantle,25,25.89,Key Defender,19,10.505,99.263,87.421,18,0.947,4,3,88.368,17.474,4.316,21.789,85.507,84.94,87.805,80.193,0.842,7.947,508.789,23.35,2.368,9.2,4.0,5.447,14.179,-2.058,61.664,3.487,4.579,12.421,17.0,26.935,6.632,3.105,0.0,0.684,2.421,4.211,2.895,0.105,1.053,4.947,0.0,0.0,0.0,,0.263,0.263,0.211,100.0,7.158,0.579,0.0,2.211,0.0,0.737,1.0,-0.263,0.0,0.0,0.0,,0.0,,0.0,1.789,0.053,2.263,30.233,0.0,,0,0.0,0.0,0.0,0.053,,2.263,10.165,1.158,0,,,0,,,0,,,6.737,64.322,74.219,0.579,3.895,6.737,5.842,3.053
Bayley Fritsch,Melbourne,25,25.06,Gen. Forward,24,9.942,69.458,64.458,28,1.167,3,3,85.375,7.917,2.25,10.167,68.443,64.211,83.333,77.869,2.083,0.0,214.667,21.115,2.125,4.784,1.75,5.81,33.648,11.033,56.053,8.841,3.5,6.75,10.25,34.146,0.667,2.167,1.292,0.708,1.458,3.458,2.125,0.0,0.917,1.375,0.042,0.162,0.0,0.0,0.083,0.083,0.0,,4.833,0.583,2.5,0.083,1.958,0.75,0.875,-0.125,0.0,0.0,0.0,,0.0,,0.0,1.958,0.958,0.042,0.0,2.083,12.0,59,2.458,1.0,3.875,0.292,63.441,5.667,22.591,0.375,93,3.407,0.657,62,3.49,0.542,31,3.242,0.887,0.0,0.0,,0.125,0.708,11.167,2.083,0.542
Charlie Spargo,Melbourne,22,22.09,Gen. Forward,25,7.468,59.0,54.36,0,0.0,0,0,73.52,7.8,3.68,11.48,70.732,65.128,82.609,67.944,2.16,0.36,187.36,16.321,1.64,7.0,1.64,7.0,31.18,8.276,55.815,10.852,4.12,7.48,11.6,35.517,1.4,2.72,1.24,0.64,2.08,3.6,2.4,0.12,1.44,3.6,0.0,0.0,0.04,,0.36,0.4,0.32,100.0,3.36,0.28,0.68,0.2,0.52,1.04,0.64,0.4,0.0,0.0,0.0,,0.0,,0.0,2.36,1.0,0.16,50.0,0.8,50.0,18,0.72,0.64,1.64,0.64,43.902,4.4,17.433,0.6,41,2.953,0.071,17,3.05,-0.638,24,2.885,0.574,0.0,0.0,,0.04,0.52,10.76,2.8,0.24
Kade Chandler,Melbourne,21,21.96,Gen. Forward,5,-0.34,1.4,2.2,0,0.0,0,0,13.4,0.2,0.6,0.8,75.0,0.0,100.0,25.0,0.0,0.0,-0.4,-0.5,0.6,1.333,0.6,1.333,,,,,0.4,0.4,0.8,50.0,0.0,0.4,0.2,0.4,0.0,0.4,0.4,0.0,0.2,0.4,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.4,-0.4,0.0,0.0,0.0,,0.0,,0.0,0.4,0.2,0.0,,0.2,100.0,0,0.0,0.0,0.0,0.2,,0.4,1.802,0.0,0,,,0,,,0,,,0.0,0.0,,0.0,0.0,1.2,0.4,0.0
Kysaiah Pickett,Melbourne,20,20.58,Gen. Forward,25,9.644,66.0,61.4,11,0.44,6,2,76.48,7.72,4.12,11.84,61.486,54.922,73.786,65.203,2.52,0.32,217.84,18.399,2.52,4.698,2.04,5.804,28.726,3.233,49.669,6.001,5.76,5.88,11.64,49.485,1.36,4.6,2.2,1.36,3.24,4.56,3.76,0.24,2.16,2.84,1.76,6.811,0.16,9.091,0.88,1.04,0.84,80.952,2.36,0.16,1.04,0.08,0.56,0.8,0.84,-0.04,0.0,0.0,0.0,,0.0,,0.0,3.48,1.56,0.0,,0.48,33.333,40,1.6,1.12,3.24,0.36,49.383,5.04,19.968,0.88,81,3.102,0.207,34,3.528,-0.528,47,2.794,0.738,0.0,0.0,,0.44,0.92,19.56,5.0,0.08
Trent Rivers,Melbourne,20,20.42,Gen. Defender,25,8.0,64.52,57.12,0,0.0,0,0,70.16,9.64,5.48,15.12,76.455,73.859,81.022,63.757,1.64,2.96,284.92,18.844,1.88,8.043,2.96,5.108,19.1,0.283,57.169,0.981,4.68,9.72,14.4,32.5,5.12,3.8,0.04,1.28,2.52,4.04,3.2,0.04,1.24,5.24,0.04,0.155,0.16,100.0,0.32,0.48,0.4,60.0,4.04,0.44,0.0,1.52,0.0,0.28,0.56,-0.28,0.0,0.0,0.0,,0.0,,0.0,1.56,0.04,0.64,37.5,0.0,,1,0.04,0.04,0.2,0.04,20.0,2.6,10.301,1.0,5,2.151,-0.751,0,,,5,2.151,-0.751,0.6,7.853,100.0,0.36,2.44,10.28,7.2,1.76
Luke Jackson,Melbourne,20,20.25,Ruck,24,8.95,72.083,61.75,10,0.417,4,3,75.333,4.458,8.375,12.833,76.623,71.028,79.602,34.74,1.25,0.333,119.958,9.347,1.75,7.333,2.042,6.286,27.942,7.675,54.18,-0.755,6.542,6.583,13.125,49.841,1.333,3.958,0.833,1.042,2.917,4.375,2.667,0.0,1.0,3.75,7.208,27.903,0.583,8.092,0.875,1.458,1.833,75.0,3.0,1.0,0.875,0.333,0.375,1.0,0.458,0.542,26.917,30.85,10.625,39.474,3.292,30.98,0.458,2.0,0.583,0.292,0.0,1.417,17.647,16,0.667,0.375,1.292,0.333,51.613,4.583,18.272,1.25,31,3.661,-0.274,22,3.398,-0.535,9,4.304,0.362,0.0,0.0,,0.0,1.542,11.625,3.708,0.833
James Jordon,Melbourne,21,21.03,Midfielder,25,6.124,58.72,60.68,0,0.0,0,0,55.96,7.12,7.4,14.52,71.901,62.36,81.081,49.036,1.8,1.04,187.76,12.931,1.92,7.562,2.68,5.418,23.985,-5.631,54.588,-7.12,4.76,10.0,14.76,32.249,2.04,3.84,0.6,1.52,2.32,2.84,2.28,0.28,0.88,6.52,4.68,18.111,0.2,4.274,1.0,1.2,1.32,66.667,2.56,0.04,0.12,0.16,0.04,0.72,0.36,0.36,0.0,0.0,0.0,,0.0,,0.0,3.88,0.8,0.24,0.0,0.16,0.0,6,0.24,0.24,0.68,0.16,35.294,2.88,11.41,0.76,17,2.831,-0.36,6,3.977,-0.643,11,2.206,-0.206,0.0,0.0,,0.04,0.68,14.76,6.76,0.28
Steven May,Melbourne,29,29.97,Key Defender,23,9.965,85.739,68.478,27,1.174,5,1,93.261,14.739,2.652,17.391,84.5,84.071,86.885,84.75,0.826,6.174,384.87,22.13,2.565,6.78,2.783,6.25,13.891,2.159,64.908,2.376,4.0,8.261,12.261,32.624,6.087,2.13,0.0,0.652,1.478,3.739,1.913,0.043,0.609,3.13,0.0,0.0,0.0,,0.261,0.261,0.13,66.667,5.435,1.13,0.0,2.478,0.0,0.609,0.739,-0.13,0.0,0.0,0.0,,0.0,,0.0,1.043,0.0,4.13,23.158,0.0,,0,0.0,0.087,0.13,0.087,0.0,2.348,9.343,1.13,3,2.183,-1.516,2,2.41,-1.41,1,1.728,-1.728,4.957,64.773,97.368,0.087,6.565,4.913,3.957,5.739
Max Gawn,Melbourne,30,30.0,Ruck,25,14.756,120.4,110.72,74,2.96,14,16,89.12,12.64,5.88,18.52,61.771,53.165,80.272,68.251,3.16,1.72,310.68,16.775,3.88,4.773,3.68,5.033,23.795,1.805,50.074,-4.074,10.68,7.6,18.28,58.425,3.56,3.96,0.48,1.48,2.48,5.16,2.16,0.0,0.84,4.08,18.84,72.91,1.8,9.554,2.76,4.56,5.12,78.906,5.24,2.32,0.92,1.88,0.48,1.32,1.36,-0.04,55.32,63.295,32.2,58.207,10.2,31.677,2.8,2.84,0.28,1.56,17.949,2.12,18.868,16,0.64,0.68,1.64,0.36,39.024,5.48,21.712,3.12,41,3.07,-0.314,26,3.32,-0.551,15,2.636,0.097,0.0,0.0,,0.0,3.96,10.88,5.8,3.12
Tom McDonald,Melbourne,29,29.28,Key Forward,23,10.274,81.348,70.609,39,1.696,10,8,84.565,9.435,4.565,14.0,67.391,60.369,81.905,67.391,2.826,0.348,250.913,17.922,2.522,5.552,3.478,4.025,30.91,7.021,53.376,1.797,6.217,8.304,14.522,42.814,1.522,3.435,1.522,1.696,1.739,5.739,3.261,0.0,0.783,3.304,0.043,0.168,0.0,0.0,0.304,0.304,0.478,81.818,5.304,1.217,1.391,0.261,1.261,0.957,1.13,-0.174,4.696,5.403,1.261,26.852,0.304,24.138,0.217,2.217,1.13,0.174,0.0,3.826,20.455,33,1.435,0.957,2.696,0.957,53.226,5.739,22.564,0.913,62,3.188,0.36,41,3.175,0.288,21,3.213,0.501,0.043,0.578,100.0,0.043,2.391,11.913,2.261,1.652
Adam Tomlinson,Melbourne,28,28.39,Key Defender,7,4.971,56.286,51.857,1,0.143,1,0,84.714,8.714,3.286,12.0,77.381,80.328,69.565,72.619,0.429,2.429,174.429,14.536,2.429,4.941,2.143,5.6,15.712,2.932,68.476,6.101,2.857,8.857,11.714,24.39,3.286,1.571,0.0,0.571,1.0,2.571,1.429,0.143,0.286,3.714,0.0,0.0,0.0,,0.286,0.286,0.286,100.0,5.429,0.714,0.0,1.429,0.0,0.286,0.857,-0.571,0.0,0.0,0.0,,0.0,,0.0,1.286,0.0,3.0,4.762,0.0,,0,0.0,0.0,0.0,0.0,,1.714,6.593,0.571,0,,,0,,,0,,,0.429,6.0,66.667,0.0,4.857,5.0,4.0,4.286
Christian Salem,Melbourne,26,26.46,Gen. Defender,24,9.683,97.083,94.5,50,2.083,12,1,86.458,16.875,8.458,25.333,77.138,75.309,80.788,66.612,2.5,5.708,431.958,17.051,2.667,9.5,4.542,5.578,18.504,3.018,56.522,6.208,5.708,17.417,23.125,24.685,6.083,4.792,0.042,1.667,3.125,4.625,4.042,0.125,1.458,10.25,0.0,0.0,0.25,,0.75,1.0,0.75,66.667,6.042,0.167,0.042,1.25,0.042,0.583,0.75,-0.167,0.0,0.0,0.0,,0.0,,0.0,2.417,0.083,1.083,19.231,0.0,,3,0.125,0.083,0.292,0.333,42.857,3.917,15.512,1.292,7,2.829,0.028,2,3.447,-0.447,5,2.582,0.218,1.958,25.269,100.0,0.5,1.292,12.208,8.708,0.75
Alex Neal-Bullen,Melbourne,25,25.97,Gen. Forward,25,10.156,75.96,73.16,3,0.12,2,0,75.64,10.2,6.12,16.32,64.951,52.941,84.967,62.5,3.96,0.72,274.16,16.799,2.72,6.0,3.72,4.387,31.227,-1.275,52.579,0.078,6.84,9.84,16.68,41.007,1.96,5.28,1.68,1.92,3.36,4.4,3.56,0.44,1.32,5.88,0.68,2.632,0.28,41.176,1.56,1.84,1.88,78.723,3.2,0.08,0.56,0.12,0.36,1.2,0.76,0.44,0.0,0.0,0.0,,0.0,,0.0,4.44,1.72,0.04,0.0,0.52,7.692,15,0.6,0.44,1.4,0.64,42.857,4.6,18.225,0.8,35,2.728,0.158,16,2.772,0.478,19,2.69,-0.111,0.0,0.0,,0.16,1.28,22.2,8.2,0.32
James Harmes,Melbourne,26,26.23,Midfielder,18,9.261,86.444,79.556,6,0.333,2,0,76.056,8.444,12.333,20.778,69.251,55.263,78.829,40.642,3.333,1.278,242.056,11.65,3.444,6.032,3.5,5.937,25.812,-5.812,53.109,-6.442,9.167,12.389,21.556,42.526,3.056,6.722,0.778,2.611,4.111,4.833,3.778,1.0,1.5,9.0,12.333,48.261,0.944,7.658,2.222,3.167,3.278,76.271,2.889,0.222,0.389,0.389,0.222,1.111,1.333,-0.222,0.0,0.0,0.0,,0.0,,0.0,5.222,0.889,0.056,0.0,0.389,57.143,7,0.389,0.556,1.278,0.278,30.435,4.111,16.444,1.278,23,2.835,-0.574,9,2.869,-1.091,14,2.813,-0.242,0.0,0.0,,0.222,1.278,23.944,11.389,0.5
Christian Petracca,Melbourne,25,25.98,Midfielder,25,16.756,114.68,111.52,109,4.36,20,23,89.48,16.36,12.84,29.2,62.055,51.589,75.389,56.027,6.84,1.28,539.92,18.49,5.0,5.84,6.2,4.71,29.204,2.144,46.087,-3.768,13.96,15.24,29.2,47.808,1.96,9.52,2.24,4.16,5.36,5.2,4.28,3.12,2.0,8.8,20.44,79.102,2.8,13.699,3.52,6.32,7.12,73.596,5.04,0.32,0.92,0.4,1.08,0.92,1.16,-0.24,0.04,0.046,0.0,0.0,0.0,,0.0,4.12,0.52,0.08,0.0,0.68,41.176,29,1.16,0.76,2.84,0.76,40.845,8.32,32.964,1.6,71,2.923,-0.205,26,3.091,-0.514,45,2.826,-0.026,0.0,0.0,,0.12,0.8,21.32,8.8,0.28
Ed Langdon,Melbourne,25,25.91,Midfielder,24,10.146,82.5,83.792,6,0.25,4,0,94.333,13.125,8.708,21.833,73.282,67.302,82.297,60.115,2.792,2.083,417.375,19.116,2.375,9.193,4.208,5.188,21.946,-0.363,52.144,1.453,5.833,15.833,21.667,26.923,4.125,4.75,0.583,1.25,3.5,4.167,3.5,0.375,1.5,9.0,0.0,0.0,0.208,,0.875,1.083,0.958,73.913,5.417,0.208,0.5,0.667,0.208,0.625,0.333,0.292,0.0,0.0,0.0,,0.0,,0.0,1.875,0.167,0.542,23.077,0.208,60.0,13,0.542,0.375,1.083,0.25,50.0,4.208,16.722,1.083,26,3.069,0.277,13,3.333,0.667,13,2.805,-0.113,0.0,0.0,,0.75,0.792,11.792,5.5,0.458
Jake Lever,Melbourne,25,25.82,Key Defender,25,12.764,88.96,62.36,43,1.72,12,5,98.88,9.68,5.88,15.56,82.262,80.165,85.714,62.211,1.2,4.12,277.24,17.817,2.28,6.825,3.12,4.987,16.938,2.028,56.676,-0.211,6.92,8.16,15.08,45.889,10.28,4.24,0.0,1.32,2.92,6.84,4.16,0.0,1.44,3.28,0.0,0.0,0.0,,0.04,0.04,0.04,0.0,5.44,1.76,0.0,4.08,0.0,0.92,0.92,0.0,0.0,0.0,0.0,,0.0,,0.0,1.76,0.0,3.16,26.582,0.0,,0,0.0,0.04,0.04,0.08,0.0,2.44,9.667,1.72,1,4.006,-3.006,1,4.006,-3.006,0,,,0.04,0.524,100.0,0.04,6.68,8.44,6.92,5.92
Jayden Hunt,Melbourne,26,26.74,Gen. Defender,20,7.825,55.8,54.45,0,0.0,0,0,75.15,8.95,4.75,13.7,73.358,65.363,88.421,65.328,2.8,2.25,300.25,21.916,2.35,5.83,2.85,4.807,22.876,-1.492,55.339,2.523,4.1,9.4,13.5,30.37,4.45,3.15,0.05,1.0,2.15,3.55,2.75,0.05,0.95,5.5,0.0,0.0,0.05,,0.55,0.6,0.25,80.0,3.2,0.15,0.05,0.8,0.15,0.8,0.95,-0.15,0.0,0.0,0.0,,0.0,,0.0,2.45,0.05,1.05,23.81,0.05,0.0,2,0.1,0.15,0.3,0.1,33.333,2.7,10.953,0.6,6,2.555,-0.055,4,2.461,-0.461,2,2.741,0.758,0.0,0.0,,1.1,1.15,9.0,6.6,0.95
Clayton Oliver,Melbourne,24,24.44,Midfielder,25,17.392,125.8,109.44,133,5.32,20,31,88.44,14.32,17.24,31.56,69.455,55.866,80.742,45.374,5.2,1.88,423.0,13.403,5.16,6.116,5.08,6.213,26.347,0.896,48.258,0.247,17.36,14.4,31.76,54.66,4.28,11.56,1.88,5.72,5.84,6.08,5.24,4.08,2.0,10.0,22.4,86.687,2.92,13.036,4.52,7.44,9.36,76.496,3.56,0.2,0.24,0.6,0.2,1.72,1.84,-0.12,0.0,0.0,0.0,,0.0,,0.0,5.44,0.56,0.08,0.0,0.16,25.0,11,0.44,0.72,1.36,0.72,32.353,7.24,28.685,2.48,34,2.798,-0.327,16,3.13,-1.38,18,2.503,0.608,0.0,0.0,,0.16,1.16,24.76,11.12,0.24
Tom Sparrow,Melbourne,21,21.58,Mid-Forward,21,5.895,40.048,39.81,0,0.0,0,0,45.19,4.857,4.0,8.857,67.742,57.843,79.762,54.839,1.762,0.571,157.286,17.758,1.714,5.167,1.81,4.895,27.489,-5.411,50.375,-4.921,3.619,5.571,9.19,39.378,1.381,2.333,0.333,0.905,1.429,2.381,1.524,0.238,0.714,3.286,4.952,19.048,0.238,4.808,0.762,1.0,0.952,75.0,1.905,0.19,0.238,0.19,0.333,0.619,0.714,-0.095,0.0,0.0,0.0,,0.0,,0.0,2.714,0.476,0.048,0.0,0.19,25.0,7,0.333,0.19,0.667,0.19,50.0,2.429,9.444,0.429,14,2.423,0.863,7,2.307,0.55,7,2.538,1.176,0.0,0.0,,0.0,0.905,12.095,5.286,0.238
